Date;Zone;Prix_SP95;Prix Gazole;Trafic Routier;Voyageurs TC;Index SP95;Index Trafic;Index TC;Var SP95 %;Var Trafic %;Var TC %;Niveau Prix SP95;Niveau Prix Gazole;Var Gazole %;Index Gazole;;;;;;
2019-08;Périurbaine;1,500 €;1,420 €;12350;1912;98,58;107,98;119,98;-1,32%;-1,87%;-1,70%;Bas;Bas;-0,70%;98,50;;;;;;
2019-08;Rurale;1,500 €;1,420 €;5526;294;98,58;108,01;120,00;-1,32%;-1,81%;-1,67%;Bas;Bas;-0,70%;98,50;;;;;;
2019-09;Urbaine;1,530 €;1,450 €;13916;10596;100,55;102,74;101,69;2,00%;-4,82%;-15,26%;Bas;Bas;2,11%;100,58;;;;;;
2019-09;Périurbaine;1,530 €;1,450 €;11768;1621;100,55;102,89;101,72;2,00%;-4,71%;-15,22%;Bas;Bas;2,11%;100,58;;;;;;
2019-09;Rurale;1,530 €;1,450 €;5272;249;100,55;103,04;101,63;2,00%;-4,60%;-15,31%;Bas;Bas;2,11%;100,58;;;;;;
2019-10;Urbaine;1,550 €;1,470 €;13627;10384;101,86;100,61;99,66;1,31%;-2,08%;-2,00%;Moyen;Bas;1,38%;101,97;;;;;;
2019-10;Périurbaine;1,550 €;1,470 €;11532;1588;101,86;100,83;99,65;1,31%;-2,01%;-2,04%;Moyen;Bas;1,38%;101,97;;;;;;
2019-10;Rurale;1,550 €;1,470 €;5170;244;101,86;101,05;99,59;1,31%;-1,93%;-2,01%;Moyen;Bas;1,38%;101,97;;;;;;
2019-11;Urbaine;1,540 €;1,460 €;13075;9749;101,20;96,53;93,56;-0,65%;-4,05%;-6,12%;Bas;Bas;-0,68%;101,27;;;;;;
2019-11;Périurbaine;1,540 €;1,460 €;11071;1491;101,20;96,80;93,56;-0,65%;-4,00%;-6,11%;Bas;Bas;-0,68%;101,27;;;;;;
2019-11;Rurale;1,540 €;1,460 €;4966;229;101,20;97,06;93,47;-0,65%;-3,95%;-6,15%;Bas;Bas;-0,68%;101,27;;;;;;
2019-12;Urbaine;1,520 €;1,450 €;12530;9324;99,89;92,51;89,49;-1,30%;-4,17%;-4,36%;Bas;Bas;-0,68%;100,58;;;;;;
2019-12;Périurbaine;1,520 €;1,450 €;10612;1426;99,89;92,79;89,48;-1,30%;-4,15%;-4,36%;Bas;Bas;-0,68%;100,58;;;;;;
2019-12;Rurale;1,520 €;1,450 €;4762;219;99,89;93,07;89,39;-1,30%;-4,11%;-4,37%;Bas;Bas;-0,68%;100,58;;;;;;
2020-01;Urbaine;1,500 €;1,420 €;12527;7498;98,58;92,49;71,96;-1,32%;-0,02%;-19,58%;Bas;Bas;-2,07%;98,50;;;;;;
2020-01;Périurbaine;1,500 €;1,420 €;10611;1147;98,58;92,78;71,98;-1,32%;-0,01%;-19,57%;Bas;Bas;-2,07%;98,50;;;;;;
2020-01;Rurale;1,500 €;1,420 €;4762;176;98,58;93,07;71,84;-1,32%;0,00%;-19,63%;Bas;Bas;-2,07%;98,50;;;;;;
2020-02;Urbaine;1,480 €;1,400 €;12241;7674;97,26;90,38;73,65;-1,33%;-2,28%;2,35%;Bas;Bas;-1,41%;97,11;;;;;;
2020-02;Périurbaine;1,480 €;1,400 €;10377;1174;97,26;90,73;73,67;-1,33%;-2,21%;2,35%;Bas;Bas;-1,41%;97,11;;;;;;
2020-02;Rurale;1,480 €;1,400 €;4660;181;97,26;91,08;73,88;-1,33%;-2,14%;2,84%;Bas;Bas;-1,41%;97,11;;;;;;
2020-03;Urbaine;1,350 €;1,280 €;7666;3692;88,72;56,60;35,43;-8,78%;-37,37%;-51,89%;Bas;Bas;-8,57%;88,79;;;;;;
2020-03;Périurbaine;1,350 €;1,280 €;6578;565;88,72;57,51;35,45;-8,78%;-36,61%;-51,87%;Bas;Bas;-8,57%;88,79;;;;;;
2020-03;Rurale;1,350 €;1,280 €;2989;87;88,72;58,42;35,51;-8,78%;-35,86%;-51,93%;Bas;Bas;-8,57%;88,79;;;;;;
2020-04;Urbaine;1,250 €;1,170 €;1889;677;82,15;13,95;6,50;-7,41%;-75,36%;-81,66%;Bas;Bas;-8,59%;81,16;;;;;;
2020-04;Périurbaine;1,250 €;1,170 €;1654;104;82,15;14,46;6,53;-7,41%;-74,86%;-81,59%;Bas;Bas;-8,59%;81,16;;;;;;
2020-04;Rurale;1,250 €;1,170 €;766;16;82,15;14,97;6,53;-7,41%;-74,37%;-81,61%;Bas;Bas;-8,59%;81,16;;;;;;
2020-05;Urbaine;1,300 €;1,200 €;2622;1323;85,43;19,36;12,70;4,00%;38,80%;95,42%;Bas;Bas;2,56%;83,24;;;;;;
2020-05;Périurbaine;1,300 €;1,200 €;2295;202;85,43;20,07;12,68;4,00%;38,75%;94,23%;Bas;Bas;2,56%;83,24;;;;;;
2020-05;Rurale;1,300 €;1,200 €;1063;31;85,43;20,78;12,65;4,00%;38,77%;93,75%;Bas;Bas;2,56%;83,24;;;;;;
2020-06;Urbaine;1,350 €;1,250 €;8094;4542;88,72;59,76;43,59;3,85%;208,70%;243,31%;Bas;Bas;4,17%;86,71;;;;;;
2020-06;Périurbaine;1,350 €;1,250 €;7046;695;88,72;61,61;43,61;3,85%;207,02%;244,06%;Bas;Bas;4,17%;86,71;;;;;;
2020-06;Rurale;1,350 €;1,250 €;3247;107;88,72;63,46;43,67;3,85%;205,46%;245,16%;Bas;Bas;4,17%;86,71;;;;;;
2020-07;Urbaine;1,380 €;1,280 €;12848;8679;90,69;94,86;83,30;2,22%;58,73%;91,08%;Bas;Bas;2,40%;88,79;;;;;;
2020-07;Périurbaine;1,380 €;1,280 €;11120;1327;90,69;97,23;83,27;2,22%;57,82%;90,94%;Bas;Bas;2,40%;88,79;;;;;;
2020-07;Rurale;1,380 €;1,280 €;5096;204;90,69;99,60;83,27;2,22%;56,94%;90,65%;Bas;Bas;2,40%;88,79;;;;;;
2020-08;Urbaine;1,400 €;1,300 €;12974;9160;92,00;95,79;87,91;1,45%;0,98%;5,54%;Bas;Bas;1,56%;90,17;;;;;;
2020-08;Périurbaine;1,400 €;1,300 €;11189;1401;92,00;97,83;87,92;1,45%;0,62%;5,58%;Bas;Bas;1,56%;90,17;;;;;;
2020-08;Rurale;1,400 €;1,300 €;5110;216;92,00;99,87;88,16;1,45%;0,27%;5,88%;Bas;Bas;1,56%;90,17;;;;;;
2020-09;Urbaine;1,420 €;1,320 €;12661;8115;93,32;93,48;77,88;1,43%;-2,41%;-11,41%;Bas;Bas;1,54%;91,56;;;;;;
2020-09;Périurbaine;1,420 €;1,320 €;10910;1241;93,32;95,39;77,87;1,43%;-2,49%;-11,42%;Bas;Bas;1,54%;91,56;;;;;;
2020-09;Rurale;1,420 €;1,320 €;4978;191;93,32;97,29;77,96;1,43%;-2,58%;-11,57%;Bas;Bas;1,54%;91,56;;;;;;
2020-10;Urbaine;1,430 €;1,330 €;11584;7607;93,98;85,53;73,01;0,70%;-8,51%;-6,26%;Bas;Bas;0,76%;92,25;;;;;;
2020-10;Périurbaine;1,430 €;1,330 €;10001;1163;93,98;87,44;72,98;0,70%;-8,33%;-6,29%;Bas;Bas;0,76%;92,25;;;;;;
2020-10;Rurale;1,430 €;1,330 €;4572;179;93,98;89,36;73,06;0,70%;-8,16%;-6,28%;Bas;Bas;0,76%;92,25;;;;;;
2020-11;Urbaine;1,400 €;1,300 €;7565;4463;92,00;55,85;42,83;-2,10%;-34,69%;-41,33%;Bas;Bas;-2,26%;90,17;;;;;;
2020-11;Périurbaine;1,400 €;1,300 €;6541;683;92,00;57,19;42,86;-2,10%;-34,60%;-41,27%;Bas;Bas;-2,26%;90,17;;;;;;
2020-11;Rurale;1,400 €;1,300 €;2995;105;92,00;58,54;42,86;-2,10%;-34,49%;-41,34%;Bas;Bas;-2,26%;90,17;;;;;;
2020-12;Urbaine;1,420 €;1,320 €;9481;5589;93,32;70,00;53,64;1,43%;25,33%;25,23%;Bas;Bas;1,54%;91,56;;;;;;
2020-12;Périurbaine;1,420 €;1,320 €;8172;855;93,32;71,45;53,65;1,43%;24,94%;25,18%;Bas;Bas;1,54%;91,56;;;;;;
2020-12;Rurale;1,420 €;1,320 €;3730;132;93,32;72,90;53,88;1,43%;24,54%;25,71%;Bas;Bas;1,54%;91,56;;;;;;
2021-01;Urbaine;1,450 €;1,350 €;8517;5043;95,29;62,88;48,40;2,11%;-10,17%;-9,77%;Bas;Bas;2,27%;93,64;;;;;;
2021-01;Périurbaine;1,450 €;1,350 €;7337;771;95,29;64,15;48,38;2,11%;-10,22%;-9,82%;Bas;Bas;2,27%;93,64;;;;;;
2021-01;Rurale;1,450 €;1,350 €;3347;119;95,29;65,42;48,57;2,11%;-10,27%;-9,85%;Bas;Bas;2,27%;93,64;;;;;;
2021-02;Urbaine;1,500 €;1,400 €;8399;5162;98,58;62,01;49,54;3,45%;-1,39%;2,36%;Bas;Bas;3,70%;97,11;;;;;;
2021-02;Périurbaine;1,500 €;1,400 €;7203;789;98,58;62,98;49,51;3,45%;-1,83%;2,33%;Bas;Bas;3,70%;97,11;;;;;;
2021-02;Rurale;1,500 €;1,400 €;3272;121;98,58;63,95;49,39;3,45%;-2,24%;1,68%;Bas;Bas;3,70%;97,11;;;;;;
2021-03;Urbaine;1,550 €;1,450 €;10618;6366;101,86;78,39;61,10;3,33%;26,42%;23,32%;Moyen;Bas;3,57%;100,58;;;;;;
2021-03;Périurbaine;1,550 €;1,450 €;9041;974;101,86;79,05;61,12;3,33%;25,52%;23,45%;Moyen;Bas;3,57%;100,58;;;;;;
2021-03;Rurale;1,550 €;1,450 €;4078;150;101,86;79,70;61,22;3,33%;24,63%;23,97%;Moyen;Bas;3,57%;100,58;;;;;;
2021-04;Urbaine;1,580 €;1,470 €;9566;5958;103,83;70,63;57,18;1,94%;-9,91%;-6,41%;Moyen;Bas;1,38%;101,97;;;;;;
2021-04;Périurbaine;1,580 €;1,470 €;8120;911;103,83;71,00;57,17;1,94%;-10,19%;-6,47%;Moyen;Bas;1,38%;101,97;;;;;;
2021-04;Rurale;1,580 €;1,470 €;3652;140;103,83;71,38;57,14;1,94%;-10,45%;-6,67%;Moyen;Bas;1,38%;101,97;;;;;;
2021-05;Urbaine;1,600 €;1,500 €;11097;6846;105,15;81,93;65,70;1,27%;16,00%;14,90%;Moyen;Bas;2,04%;104,05;;;;;;
2021-05;Périurbaine;1,600 €;1,500 €;9401;1047;105,15;82,20;65,70;1,27%;15,78%;14,93%;Moyen;Bas;2,04%;104,05;;;;;;
2021-05;Rurale;1,600 €;1,500 €;4219;161;105,15;82,46;65,71;1,27%;15,53%;15,00%;Moyen;Bas;2,04%;104,05;;;;;;
2021-06;Urbaine;1,620 €;1,520 €;13138;8274;106,46;97,00;79,41;1,25%;18,39%;20,86%;Moyen;Bas;1,33%;105,43;;;;;;
2021-06;Périurbaine;1,620 €;1,520 €;11068;1265;106,46;96,77;79,38;1,25%;17,73%;20,82%;Moyen;Bas;1,33%;105,43;;;;;;
2021-06;Rurale;1,620 €;1,520 €;4940;195;106,46;96,55;79,59;1,25%;17,09%;21,12%;Moyen;Bas;1,33%;105,43;;;;;;
2021-07;Urbaine;1,650 €;1,550 €;15787;11501;108,43;116,56;110,38;1,85%;20,16%;39,00%;Moyen;Moyen;1,97%;107,51;;;;;;
2021-07;Périurbaine;1,650 €;1,550 €;13262;1759;108,43;115,96;110,38;1,85%;19,82%;39,05%;Moyen;Moyen;1,97%;107,51;;;;;;
2021-07;Rurale;1,650 €;1,550 €;5902;271;108,43;115,35;110,61;1,85%;19,47%;38,97%;Moyen;Moyen;1,97%;107,51;;;;;;
2021-08;Urbaine;1,670 €;1,570 €;16008;11848;109,75;118,19;113,71;1,21%;1,40%;3,02%;Moyen;Moyen;1,29%;108,90;;;;;;
2021-08;Périurbaine;1,670 €;1,570 €;13416;1812;109,75;117,30;113,71;1,21%;1,16%;3,01%;Moyen;Moyen;1,29%;108,90;;;;;;
2021-08;Rurale;1,670 €;1,570 €;5956;279;109,75;116,41;113,88;1,21%;0,91%;2,95%;Moyen;Moyen;1,29%;108,90;;;;;;
2021-09;Urbaine;1,700 €;1,600 €;14168;9128;111,72;104,60;87,60;1,80%;-11,49%;-22,96%;Élevé;Moyen;1,91%;110,98;;;;;;
2021-09;Périurbaine;1,700 €;1,600 €;11859;1396;111,72;103,69;87,60;1,80%;-11,61%;-22,96%;Élevé;Moyen;1,91%;110,98;;;;;;
2021-09;Rurale;1,700 €;1,600 €;5258;215;111,72;102,77;87,76;1,80%;-11,72%;-22,94%;Élevé;Moyen;1,91%;110,98;;;;;;
2021-10;Urbaine;1,750 €;1,650 €;13968;9125;115,01;103,13;87,58;2,94%;-1,41%;-0,03%;Élevé;Moyen;3,12%;114,45;;;;;;
2021-10;Périurbaine;1,750 €;1,650 €;11656;1396;115,01;101,91;87,60;2,94%;-1,71%;0,00%;Élevé;Moyen;3,12%;114,45;;;;;;
2021-10;Rurale;1,750 €;1,650 €;5152;215;115,01;100,70;87,76;2,94%;-2,02%;0,00%;Élevé;Moyen;3,12%;114,45;;;;;;
2021-11;Urbaine;1,780 €;1,680 €;13088;8230;116,98;96,63;78,99;1,71%;-6,30%;-9,81%;Élevé;Moyen;1,82%;116,53;;;;;;
2021-11;Périurbaine;1,780 €;1,680 €;10886;1259;116,98;95,18;79,00;1,71%;-6,61%;-9,81%;Élevé;Moyen;1,82%;116,53;;;;;;
2021-11;Rurale;1,780 €;1,680 €;4795;194;116,98;93,72;79,18;1,71%;-6,93%;-9,77%;Élevé;Moyen;1,82%;116,53;;;;;;
2021-12;Urbaine;1,800 €;1,700 €;12353;7631;118,29;91,20;73,24;1,12%;-5,62%;-7,28%;Élevé;Élevé;1,19%;117,92;;;;;;
2021-12;Périurbaine;1,800 €;1,700 €;10245;1167;118,29;89,58;73,23;1,12%;-5,89%;-7,31%;Élevé;Élevé;1,19%;117,92;;;;;;
2021-12;Rurale;1,800 €;1,700 €;4500;180;118,29;87,95;73,47;1,12%;-6,15%;-7,22%;Élevé;Élevé;1,19%;117,92;;;;;;
2022-01;Urbaine;1,850 €;1,750 €;12485;9104;121,58;92,18;87,37;2,78%;1,07%;19,30%;Élevé;Élevé;2,94%;121,39;;;;;;
2022-01;Périurbaine;1,850 €;1,750 €;10335;1392;121,58;90,36;87,35;2,78%;0,88%;19,28%;Élevé;Élevé;2,94%;121,39;;;;;;
2022-01;Rurale;1,850 €;1,750 €;4531;214;121,58;88,56;87,35;2,78%;0,69%;18,89%;Élevé;Élevé;2,94%;121,39;;;;;;
2022-02;Urbaine;1,900 €;1,800 €;12389;9319;124,86;91,47;89,44;2,70%;-0,77%;2,36%;Élevé;Élevé;2,86%;124,86;;;;;;
2022-02;Périurbaine;1,900 €;1,800 €;10175;1425;124,86;88,96;89,42;2,70%;-1,55%;2,37%;Élevé;Élevé;2,86%;124,86;;;;;;
2022-02;Rurale;1,900 €;1,800 €;4424;219;124,86;86,47;89,39;2,70%;-2,36%;2,34%;Élevé;Élevé;2,86%;124,86;;;;;;
2022-03;Urbaine;2,100 €;2,150 €;14193;9962;138,01;104,79;95,61;10,53%;14,56%;6,90%;Très élevé;Très élevé;19,44%;149,13;;;;;;
2022-03;Périurbaine;2,100 €;2,150 €;11203;1524;138,01;97,95;95,63;10,53%;10,10%;6,95%;Très élevé;Très élevé;19,44%;149,13;;;;;;
2022-03;Rurale;2,100 €;2,150 €;4662;234;138,01;91,12;95,51;10,53%;5,38%;6,85%;Très élevé;Très élevé;19,44%;149,13;;;;;;
2022-04;Urbaine;1,950 €;1,900 €;14198;10283;128,15;104,82;98,69;-7,14%;0,04%;3,22%;Élevé;Élevé;-11,63%;131,79;;;;;;
2022-04;Périurbaine;1,950 €;1,900 €;11330;1573;128,15;99,06;98,71;-7,14%;1,13%;3,22%;Élevé;Élevé;-11,63%;131,79;;;;;;
2022-04;Rurale;1,950 €;1,900 €;4774;242;128,15;93,31;98,78;-7,14%;2,40%;3,42%;Élevé;Élevé;-11,63%;131,79;;;;;;
2022-05;Urbaine;1,900 €;1,850 €;14664;10712;124,86;108,27;102,81;-2,56%;3,28%;4,17%;Élevé;Élevé;-2,63%;128,32;;;;;;
2022-05;Périurbaine;1,900 €;1,850 €;11749;1638;124,86;102,73;102,79;-2,56%;3,70%;4,13%;Élevé;Élevé;-2,63%;128,32;;;;;;
2022-05;Rurale;1,900 €;1,850 €;4972;252;124,86;97,18;102,86;-2,56%;4,15%;4,13%;Élevé;Élevé;-2,63%;128,32;;;;;;
2022-06;Urbaine;2,050 €;2,100 €;15108;11033;134,72;111,54;105,89;7,89%;3,03%;3,00%;Très élevé;Très élevé;13,51%;145,66;;;;;;
2022-06;Périurbaine;2,050 €;2,100 €;12035;1687;134,72;105,23;105,86;7,89%;2,43%;2,99%;Très élevé;Très élevé;13,51%;145,66;;;;;;
2022-06;Rurale;2,050 €;2,100 €;5060;260;134,72;98,90;106,12;7,89%;1,77%;3,17%;Très élevé;Très élevé;13,51%;145,66;;;;;;
2022-07;Urbaine;1,950 €;2,000 €;15716;12854;128,15;116,03;123,36;-4,88%;4,02%;16,51%;Élevé;Très élevé;-4,76%;138,73;;;;;;
2022-07;Périurbaine;1,950 €;2,000 €;12568;1966;128,15;109,89;123,37;-4,88%;4,43%;16,54%;Élevé;Très élevé;-4,76%;138,73;;;;;;
2022-07;Rurale;1,950 €;2,000 €;5307;302;128,15;103,72;123,27;-4,88%;4,88%;16,15%;Élevé;Très élevé;-4,76%;138,73;;;;;;
2022-08;Urbaine;1,800 €;1,850 €;15203;12640;118,29;112,24;121,31;-7,69%;-3,26%;-1,66%;Élevé;Élevé;-7,50%;128,32;;;;;;
2022-08;Périurbaine;1,800 €;1,850 €;12257;1933;118,29;107,17;121,30;-7,69%;-2,47%;-1,68%;Élevé;Élevé;-7,50%;128,32;;;;;;
2022-08;Rurale;1,800 €;1,850 €;5223;297;118,29;102,08;121,22;-7,69%;-1,58%;-1,66%;Élevé;Élevé;-7,50%;128,32;;;;;;
2022-09;Urbaine;1,750 €;1,800 €;14188;10712;115,01;104,75;102,81;-2,78%;-6,68%;-15,25%;Élevé;Élevé;-2,70%;124,86;;;;;;
2022-09;Périurbaine;1,750 €;1,800 €;11577;1638;115,01;101,22;102,79;-2,78%;-5,55%;-15,26%;Élevé;Élevé;-2,70%;124,86;;;;;;
2022-09;Rurale;1,750 €;1,800 €;4998;252;115,01;97,69;102,86;-2,78%;-4,31%;-15,15%;Élevé;Élevé;-2,70%;124,86;;;;;;
2022-10;Urbaine;1,700 €;1,750 €;13843;10498;111,72;102,20;100,75;-2,86%;-2,43%;-2,00%;Élevé;Élevé;-2,78%;121,39;;;;;;
2022-10;Périurbaine;1,700 €;1,750 €;11327;1606;111,72;99,04;100,78;-2,86%;-2,16%;-1,95%;Élevé;Élevé;-2,78%;121,39;;;;;;
2022-10;Rurale;1,700 €;1,750 €;4905;247;111,72;95,87;100,82;-2,86%;-1,86%;-1,98%;Élevé;Élevé;-2,78%;121,39;;;;;;
2022-11;Urbaine;1,750 €;1,800 €;13249;9855;115,01;97,82;94,58;2,94%;-4,29%;-6,12%;Élevé;Élevé;2,86%;124,86;;;;;;
2022-11;Périurbaine;1,750 €;1,800 €;10862;1507;115,01;94,97;94,57;2,94%;-4,11%;-6,16%;Élevé;Élevé;2,86%;124,86;;;;;;
2022-11;Rurale;1,750 €;1,800 €;4713;232;115,01;92,12;94,69;2,94%;-3,91%;-6,07%;Élevé;Élevé;2,86%;124,86;;;;;;
2022-12;Urbaine;1,800 €;1,850 €;12529;9426;118,29;92,50;90,46;2,86%;-5,43%;-4,35%;Élevé;Élevé;2,78%;128,32;;;;;;
2022-12;Périurbaine;1,800 €;1,850 €;10351;1442;118,29;90,50;90,49;2,86%;-4,70%;-4,31%;Élevé;Élevé;2,78%;128,32;;;;;;
2022-12;Rurale;1,800 €;1,850 €;4528;222;118,29;88,50;90,61;2,86%;-3,93%;-4,31%;Élevé;Élevé;2,78%;128,32;;;;;;
2023-01;Urbaine;1,850 €;1,900 €;12327;9086;121,58;91,01;87,20;2,78%;-1,61%;-3,61%;Élevé;Élevé;2,70%;131,79;;;;;;
2023-01;Périurbaine;1,850 €;1,900 €;10187;1390;121,58;89,07;87,22;2,78%;-1,58%;-3,61%;Élevé;Élevé;2,70%;131,79;;;;;;
2023-01;Rurale;1,850 €;1,900 €;4457;214;121,58;87,11;87,35;2,78%;-1,57%;-3,60%;Élevé;Élevé;2,70%;131,79;;;;;;
2023-02;Urbaine;1,880 €;1,920 €;12115;9300;123,55;89,45;89,26;1,62%;-1,72%;2,36%;Élevé;Élevé;1,05%;133,18;;;;;;
2023-02;Périurbaine;1,880 €;1,920 €;9987;1422;123,55;87,32;89,23;1,62%;-1,96%;2,30%;Élevé;Élevé;1,05%;133,18;;;;;;
2023-02;Rurale;1,880 €;1,920 €;4359;219;123,55;85,20;89,39;1,62%;-2,20%;2,34%;Élevé;Élevé;1,05%;133,18;;;;;;
2023-03;Urbaine;1,900 €;1,950 €;13008;9942;124,86;96,04;95,42;1,06%;7,37%;6,90%;Élevé;Élevé;1,56%;135,26;;;;;;
2023-03;Périurbaine;1,900 €;1,950 €;10679;1520;124,86;93,37;95,38;1,06%;6,93%;6,89%;Élevé;Élevé;1,56%;135,26;;;;;;
2023-03;Rurale;1,900 €;1,950 €;4641;234;124,86;90,71;95,51;1,06%;6,47%;6,85%;Élevé;Élevé;1,56%;135,26;;;;;;
2023-04;Urbaine;1,880 €;1,900 €;13282;10262;123,55;98,06;98,49;-1,05%;2,11%;3,22%;Élevé;Élevé;-2,56%;131,79;;;;;;
2023-04;Périurbaine;1,880 €;1,900 €;10901;1569;123,55;95,31;98,46;-1,05%;2,08%;3,22%;Élevé;Élevé;-2,56%;131,79;;;;;;
2023-04;Rurale;1,880 €;1,900 €;4736;241;123,55;92,56;98,37;-1,05%;2,05%;2,99%;Élevé;Élevé;-2,56%;131,79;;;;;;
2023-05;Urbaine;1,850 €;1,880 €;13788;10690;121,58;101,80;102,60;-1,60%;3,81%;4,17%;Élevé;Élevé;-1,05%;130,40;;;;;;
2023-05;Périurbaine;1,850 €;1,880 €;11331;1635;121,58;99,07;102,60;-1,60%;3,94%;4,21%;Élevé;Élevé;-1,05%;130,40;;;;;;
2023-05;Rurale;1,850 €;1,880 €;4929;252;121,58;96,34;102,86;-1,60%;4,08%;4,56%;Élevé;Élevé;-1,05%;130,40;;;;;;
2023-06;Urbaine;1,820 €;1,850 €;13991;11011;119,61;103,30;105,68;-1,62%;1,47%;3,00%;Élevé;Élevé;-1,60%;128,32;;;;;;
2023-06;Périurbaine;1,820 €;1,850 €;11528;1684;119,61;100,79;105,67;-1,62%;1,74%;3,00%;Élevé;Élevé;-1,60%;128,32;;;;;;
2023-06;Rurale;1,820 €;1,850 €;5029;259;119,61;98,29;105,71;-1,62%;2,03%;2,78%;Élevé;Élevé;-1,60%;128,32;;;;;;
2023-07;Urbaine;1,850 €;1,880 €;14639;12828;121,58;108,08;123,12;1,65%;4,63%;16,50%;Élevé;Élevé;1,62%;130,40;;;;;;
2023-07;Périurbaine;1,850 €;1,880 €;12070;1962;121,58;105,53;123,12;1,65%;4,70%;16,51%;Élevé;Élevé;1,62%;130,40;;;;;;
2023-07;Rurale;1,850 €;1,880 €;5269;302;121,58;102,98;123,27;1,65%;4,77%;16,60%;Élevé;Élevé;1,62%;130,40;;;;;;
2023-08;Urbaine;1,900 €;1,950 €;14432;12614;124,86;106,55;121,06;2,70%;-1,41%;-1,67%;Élevé;Élevé;3,72%;135,26;;;;;;
2023-08;Périurbaine;1,900 €;1,950 €;11872;1929;124,86;103,80;121,05;2,70%;-1,64%;-1,68%;Élevé;Élevé;3,72%;135,26;;;;;;
2023-08;Rurale;1,900 €;1,950 €;5170;297;124,86;101,05;121,22;2,70%;-1,88%;-1,66%;Élevé;Élevé;3,72%;135,26;;;;;;
